=========================================================================================
                                STEM-CELL-LIBRARY                                        
=========================================================================================
    CELL_TYPE   |   CELL_NAME                           |   NOTE                          
-----------------------------------------------------------------------------------------
    PMOS        |   sky130_asc_pfet_01v8_lvt_1          |   `w=6.45 `l=2    `nf=1         
                |   sky130_asc_pfet_01v8_lvt_6          |   `w=6.45 `l=2    `nf=6         
                |   sky130_asc_pfet_01v8_lvt_9          |   `w=6.45 `l=2    `nf=9         
                |   sky130_asc_pfet_01v8_lvt_12         |   `w=6.45 `l=2    `nf=12        
                |   sky130_asc_pfet_01v8_lvt_60         |   `w=6.45 `l=2    `nf=60        
-----------------------------------------------------------------------------------------
    NMOS        |   sky130_asc_nfet_01v8_lvt_1          |   `w=4    `l=2    `nf=1         
                |   sky130_asc_nfet_01v8_lvt_9          |   `w=4    `l=2    `nf=9         
-----------------------------------------------------------------------------------------
    RESISTOR    |   sky130_asc_res_xhigh_po_2p85_1      |                                 
                |   sky130_asc_res_xhigh_po_2p85_2      |                                 
-----------------------------------------------------------------------------------------
    PNP         |   sky130_asc_pnp_05v5_W3p40L3p40_1    |   `nx=1                         
                |   sky130_asc_pnp_05v5_W3p40L3p40_7    |   `nx=7                         
                |   sky130_asc_pnp_05v5_W3p40L3p40_8    |   `nx=8                         
-----------------------------------------------------------------------------------------
    CAPACITOR   |   sky130_asc_cap_mim_m3_1             |   `w=2    `l=2    `nx=10  `ny=2 
=========================================================================================
* w:    width
* l:    length
* nf:   number of finger
* nx:   number of multiples in x-axis direction
* ny:   number of multiples in y-axis direction
