42.780	149.740
42.780	149.740
76.410	113.780
76.410	113.780
43.560	157.320
43.560	157.320
90.940	144.060
100.520	132.120
82.780	148.440
48.820	171.140
65.340	158.860
47.440	190.960
95.460	148.020
95.460	148.020
65.100	173.120
63.320	176.470
86.880	168.600
51.400	203.620
48.140	249.460
49.840	242.500
110.640	160.020
103.980	166.520
108.640	162.780
65.020	183.120
61.240	211.740
51.680	238.420
63.090	209.260
116.690	161.750
110.400	178.340
110.400	178.340
114.060	175.680
79.880	184.000
70.920	195.100
75.520	185.060
55.760	242.420
63.380	209.300
118.680	166.680
115.080	183.280
115.500	179.470
110.120	184.480
73.980	200.800
73.980	200.800
89.800	190.220
91.200	185.140
91.200	185.140
81.920	191.560
57.720	269.700
67.840	219.320
170.350	184.490
78.720	201.090
77.320	213.340
104.740	187.780
94.620	192.540
87.100	194.980
59.500	271.940
72.720	221.200
69.960	222.610
69.500	261.200
81.360	211.540
81.360	211.540
83.830	210.880
83.830	210.880
104.980	191.940
104.980	191.940
88.000	204.220
95.160	197.060
60.080	276.000
72.320	231.220
72.320	231.220
71.120	245.920
71.120	245.920
73.780	229.600
73.780	229.600
71.540	233.380
71.540	233.380
76.840	228.180
76.840	228.180
69.900	274.540
69.900	274.540
105.060	193.560
