a0	a1
79.500	133.190
152.750	121.060
152.750	121.060
152.750	121.060
152.750	121.060
152.750	121.060
152.750	121.060
152.750	121.060
90.020	123.080
90.020	123.080
90.020	123.080
90.020	123.080
90.020	123.080
90.020	123.080
90.020	123.080
259.390	100.560
28.260	164.020
28.260	164.020
35.055	143.700
35.055	143.700
257.930	104.900
257.930	104.900
34.770	204.830
34.770	204.830
34.770	204.830
34.770	204.830
34.770	204.830
34.770	204.830
34.770	204.830
34.770	204.830
308.660	116.980
165.920	124.350
65.920	149.270
65.920	149.270
40.670	190.090
145.540	131.910
133.580	141.480
39.970	198.460
40.670	190.090
40.670	190.090
40.670	190.090
40.670	190.090
40.670	190.090
40.670	190.090
40.670	190.090
92.880	148.320
106.280	142.980
65.920	149.270
97.280	143.560
97.280	143.560
97.280	143.560
97.280	143.560
97.280	143.560
97.280	143.560
97.280	143.560
97.280	143.560
97.280	143.560
97.280	143.560
97.280	143.560
133.580	141.480
133.580	141.480
133.580	141.480
133.580	141.480
106.280	142.980
92.880	148.320
92.880	148.320
92.880	148.320
92.880	148.320
92.880	148.320
92.880	148.320
92.880	148.320
92.880	148.320
92.880	148.320
92.880	148.320
92.880	148.320
97.280	143.560
106.280	142.980
106.280	142.980
133.580	141.480
133.580	141.480
