a0	a1
93.440	173.910
200.970	158.170
91.430	177.440
183.100	201.880
92.880	148.320
125.930	251.730
184.270	232.860
73.290	205.330
236.910	228.570
131.370	199.245
331.060	128.540
533.360	156.120
162.920	240.280
133.180	219.920
223.760	128.380
244.910	224.670
182.700	137.080
293.810	175.870
133.580	141.480
338.790	226.700
176.530	232.250
80.130	218.750
92.470	175.290
185.130	205.770
34.770	204.830
133.500	231.230
168.500	237.160
130.380	239.500
224.640	176.480
243.990	171.100
222.770	273.440
115.050	162.650
222.140	174.580
183.430	240.030
214.810	153.430
202.620	179.270
213.150	154.870
194.640	144.620
137.990	298.620
246.040	255.200
65.940	163.360
270.230	145.930
177.720	198.500
174.230	147.350
58.320	230.230
67.060	195.745
118.730	244.310
153.400	223.620
92.080	224.340
171.560	239.025
147.100	182.090
86.020	200.610
126.550	233.470
243.240	172.770
202.160	193.265
203.320	232.640
116.010	164.630
172.080	214.630
105.280	235.440
161.620	254.970
189.610	224.240
105.370	247.350
40.670	190.090
206.660	217.010
219.250	165.630
39.970	198.460
228.740	178.730
167.850	234.740
155.830	189.370
157.640	276.170
273.630	171.200
290.890	237.340
121.780	240.640
155.880	254.120
88.860	255.265
229.110	220.635
179.290	250.720
224.750	245.920
235.290	277.160
150.840	229.860
