a0	a1
34.770	204.830
34.770	204.830
34.770	204.830
152.750	121.060
35.055	143.700
257.930	104.900
90.020	123.080
40.670	190.090
40.670	190.090
40.670	190.090
40.670	190.090
65.920	149.270
39.970	198.460
92.880	148.320
92.880	148.320
92.880	148.320
92.880	148.320
92.880	148.320
92.880	148.320
223.760	128.380
223.760	128.380
223.760	128.380
223.760	128.380
223.760	128.380
223.760	128.380
182.700	137.080
182.700	137.080
182.700	137.080
182.700	137.080
182.700	137.080
186.360	136.950
186.360	136.950
133.580	141.480
133.580	141.480
133.580	141.480
133.580	141.480
133.580	141.480
133.580	141.480
97.280	143.560
97.280	143.560
97.280	143.560
97.280	143.560
106.280	142.980
43.000	195.940
65.940	163.360
65.940	163.360
65.940	163.360
331.060	128.540
218.420	138.250
218.420	138.250
218.420	138.250
218.420	138.250
134.210	152.500
115.050	162.650
115.050	162.650
115.050	162.650
115.050	162.650
194.640	144.620
174.230	147.350
55.030	261.490
55.030	261.490
55.030	261.490
231.890	138.540
231.890	138.540
63.660	196.320
182.680	157.530
58.320	230.230
58.320	230.230
58.320	230.230
58.320	230.230
58.320	230.230
223.900	148.070
116.010	164.630
116.010	164.630
116.010	164.630
146.400	159.540
72.660	186.320
192.110	149.610
192.110	149.610
88.350	186.200
