a0	a1
152.750	121.060
152.750	121.060
90.020	123.080
90.020	123.080
28.260	164.020
35.055	143.700
257.930	104.900
165.920	124.350
133.580	141.480
133.580	141.480
133.580	141.480
133.580	141.480
133.580	141.480
133.580	141.480
133.580	141.480
133.580	141.480
133.580	141.480
133.580	141.480
133.580	141.480
133.580	141.480
97.280	143.560
97.280	143.560
97.280	143.560
97.280	143.560
97.280	143.560
97.280	143.560
97.280	143.560
97.280	143.560
155.200	132.840
106.280	142.980
34.770	204.830
34.770	204.830
34.770	204.830
34.770	204.830
34.770	204.830
34.770	204.830
40.670	190.090
40.670	190.090
40.670	190.090
40.670	190.090
40.670	190.090
40.670	190.090
40.670	190.090
92.880	148.320
92.880	148.320
92.880	148.320
92.880	148.320
92.880	148.320
92.880	148.320
92.880	148.320
92.880	148.320
92.880	148.320
92.880	148.320
65.920	149.270
39.970	198.460
248.780	124.600
43.000	195.940
65.940	163.360
65.940	163.360
65.940	163.360
163.790	145.970
115.050	162.650
223.760	128.380
134.210	152.500
186.360	136.950
186.360	136.950
223.760	128.380
223.760	128.380
223.760	128.380
223.760	128.380
223.760	128.380
223.760	128.380
236.440	126.680
117.740	157.880
133.120	156.620
182.700	137.080
182.700	137.080
182.700	137.080
182.700	137.080
186.360	136.950
