60.190,159.905
60.190,159.905
132.820,126.440
121.480,134.380
121.480,134.380
82.080,141.330
92.360,136.740
158.960,121.125
76.150,202.170
62.710,220.830
95.800,169.850
121.440,138.980
116.390,149.160
95.100,192.450
188.500,136.850
188.500,136.850
191.980,125.490
86.900,218.700
67.600,241.420
78.060,222.290
102.510,179.890
153.920,142.080
153.920,142.080
147.260,160.490
125.620,162.590
126.680,161.990
309.630,139.720
309.630,139.720
68.040,249.540
95.610,238.350
95.610,238.350
108.140,194.530
105.770,227.820
202.960,145.760
202.960,145.760
176.870,146.950
176.870,146.950
176.120,160.480
176.120,160.480
137.500,178.770
139.100,169.500
158.170,163.700
338.860,140.540
102.980,270.920
119.300,199.990
119.300,199.990
109.560,220.850
189.340,150.730
148.690,175.220
148.690,175.220
146.030,180.030
162.920,171.400
162.920,171.400
119.530,214.570
119.530,214.570
131.470,212.280
116.280,258.780
116.280,258.780
115.600,260.870
115.600,260.870
116.890,228.170
204.780,152.230
157.680,178.800
147.450,182.460
147.450,182.460
149.230,180.920
123.410,222.060
123.410,222.060
119.410,262.960
121.490,242.240
261.680,152.790
210.670,153.540
209.950,163.100
182.220,178.980
166.340,188.700
150.180,193.460
150.180,193.460
149.530,221.390
135.540,238.850
230.830,168.300
