clk	porst	va	vb	vbg	vc	ground	power	l17	l18	l19	l20	amp/power	amp/ground	amp/vg	amp/vq	amp/vx	BGR_Core/power	VNW	VDDPST	POC	VDDCE	VDDPE	VPW	VSSPST	VSSE	BGR_Core/power	BGR_Core/ground	BGR_Core/vbneg	BGR_Core/l6	BGR_Core/l7	BGR_Core/l8	BGR_Core/l10	BGR_Core/l11	BGR_Core/l1	BGR_Core/l2	BGR_Core/l4	BGR_Core/l5	BGR_Core/l12	BGR_Core/R6/l	BGR_Core/R7/l	BGR_Core/R8/l	BGR_Core/R10/l	BGR_Core/R11/l	BGR_Core/R3/l	BGR_Core/R1/l	BGR_Core/R2/l	BGR_Core/R4/l	BGR_Core/R5/l	BGR_Core/R12/l	CM/power	CM/ground	R17/l	R18/l	R19/l	R20/l	VDD	VSS
15	15	5	6	6	2	20	17	5	8	18	5	10	7	14	4	3	2	5	13	17	12	5	16	13	20	10	17	9	7	19	19	4	18	7	2	7	18	15	8	16	14	10	2	20	6	14	7	16	20	3	14	4	20	14	12	9	18
15	15	5	6	6	2	20	18	5	8	18	5	10	7	14	4	3	2	5	13	17	12	5	16	13	20	10	17	9	7	19	19	4	18	7	2	7	18	15	8	16	14	10	2	20	6	14	7	16	20	3	14	4	20	14	12	9	18
15	15	5	6	6	2	20	18	5	8	18	5	10	7	14	4	3	2	5	13	17	12	5	16	13	20	10	17	9	7	19	19	4	18	7	2	7	18	15	8	16	14	10	2	20	6	14	7	16	20	3	14	4	20	14	12	9	18
15	15	5	6	6	2	20	18	5	8	18	5	10	7	14	4	3	2	5	13	17	12	5	16	13	20	10	17	9	7	19	19	4	18	7	2	7	18	15	8	16	14	10	2	20	6	14	7	16	20	3	14	4	20	14	12	9	18
15	15	5	6	6	2	20	17	5	8	18	5	10	7	14	4	3	2	5	13	17	12	5	16	13	20	10	17	9	7	19	19	4	18	7	2	7	18	15	8	16	14	10	2	20	6	14	7	16	20	3	14	4	20	14	12	9	18
15	15	5	6	6	2	20	18	5	8	18	5	10	7	14	4	3	2	5	13	17	12	5	16	13	20	10	17	9	7	19	19	4	18	7	2	7	18	15	8	16	14	10	2	20	6	14	7	16	20	3	14	4	20	14	12	9	18
15	15	5	6	6	2	20	18	5	8	18	5	10	7	14	4	3	2	5	13	17	12	5	16	13	20	10	17	9	7	19	19	4	18	7	2	7	18	15	8	16	14	10	2	20	6	14	7	16	20	3	14	4	20	14	12	9	18
15	15	5	6	6	2	20	18	5	8	18	5	10	7	14	4	3	2	5	13	17	12	5	16	13	20	10	17	9	7	19	19	4	18	7	2	7	18	15	8	16	14	10	2	20	6	14	7	16	20	3	14	4	20	14	12	9	18
14	9	20	19	8	3	19	8	16	19	16	20	12	13	13	5	2	15	13	7	17	9	14	2	8	17	15	14	7	6	15	14	16	8	10	4	7	20	2	11	7	5	6	10	7	14	10	18	15	12	19	15	17	16	5	10	12	10
14	9	20	19	8	3	19	8	16	19	16	20	12	13	13	5	2	15	13	7	17	9	19	2	8	17	15	14	7	6	15	14	16	8	10	4	7	20	2	11	7	5	6	10	7	14	10	18	15	12	19	15	17	16	5	10	12	10
14	9	20	19	8	3	19	8	16	19	16	20	12	13	13	5	2	15	13	7	17	9	14	2	8	17	15	14	7	6	15	14	16	8	10	4	7	20	2	11	7	5	6	10	7	14	10	18	15	12	19	15	17	16	5	10	12	10
